id,pop,city,state,loc
2038,22128,FRANKLIN,MA,"['-71.405786', ' 42.09347']"
2043,19821,HINGHAM,MA,"['-70.891051', ' 42.224485']"
2045,10466,HULL,MA,"['-70.875442', ' 42.285346']"
2048,16676,MANSFIELD,MA,"['-71.217775', ' 42.021238']"
2050,21782,MARSHFIELD,MA,"['-70.69931', ' 42.106177']"
2052,10531,MEDFIELD,MA,"['-71.304813', ' 42.184525']"
2053,9902,MEDWAY,MA,"['-71.421715', ' 42.151363']"
2054,7613,MILLIS,MA,"['-71.360693', ' 42.166938']"
2056,9259,NORFOLK,MA,"['-71.326934', ' 42.117746']"
2061,9279,NORWELL,MA,"['-70.82172', ' 42.159574']"
2062,28700,NORWOOD,MA,"['-71.203313', ' 42.186843']"
2066,16535,SCITUATE,MA,"['-70.752476', ' 42.203235']"
2067,15873,SHARON,MA,"['-71.175872', ' 42.109388']"
2071,752,SOUTH WALPOLE,MA,"['-71.275235', ' 42.099203']"
2072,26777,STOUGHTON,MA,"['-71.107357', ' 42.125279']"
2081,15615,WALPOLE,MA,"['-71.254391', ' 42.144413']"
2090,12557,WESTWOOD,MA,"['-71.210426', ' 42.214824']"
2093,9006,WRENTHAM,MA,"['-71.339568', ' 42.061746']"
2108,3697,BOSTON,MA,"['-71.068432', ' 42.357603']"
2109,3926,BOSTON,MA,"['-71.053386', ' 42.362963']"
2110,957,BOSTON,MA,"['-71.051417', ' 42.357636']"
2111,3759,BOSTON,MA,"['-71.0629', ' 42.350348']"
2113,6698,BOSTON,MA,"['-71.055958', ' 42.365656']"
2114,10246,BOSTON,MA,"['-71.06823', ' 42.361111']"
2115,25597,BOSTON,MA,"['-71.092215', ' 42.342706']"
2116,17459,BOSTON,MA,"['-71.076798', ' 42.349201']"
2118,21914,ROXBURY,MA,"['-71.075627', ' 42.340154']"
2119,25207,ROXBURY,MA,"['-71.086923', ' 42.322414']"
2120,14212,ROXBURY,MA,"['-71.097978', ' 42.332844']"
2121,25602,DORCHESTER,MA,"['-71.08305', ' 42.307503']"
2122,21266,DORCHESTER,MA,"['-71.058304', ' 42.297278']"
2124,48560,DORCHESTER,MA,"['-71.072898', ' 42.287984']"
2125,31393,DORCHESTER,MA,"['-71.061924', ' 42.315305']"
2126,27808,MATTAPAN,MA,"['-71.093871', ' 42.273889']"
2127,29170,SOUTH BOSTON,MA,"['-71.043792', ' 42.333454']"
2128,32941,EAST BOSTON,MA,"['-71.028682', ' 42.378137']"
2129,14775,CHARLESTOWN,MA,"['-71.062715', ' 42.377815']"
2130,36571,JAMAICA PLAIN,MA,"['-71.111495', ' 42.312596']"
2131,32677,ROSLINDALE,MA,"['-71.129543', ' 42.283615']"
2132,26366,WEST ROXBURY,MA,"['-71.158868', ' 42.27868']"
2134,23775,ALLSTON,MA,"['-71.132866', ' 42.353519']"
2135,35011,BRIGHTON,MA,"['-71.156599', ' 42.34779']"
2136,24260,HYDE PARK,MA,"['-71.126052', ' 42.253989']"
2138,33841,CAMBRIDGE,MA,"['-71.125611', ' 42.377045']"
